Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
# misassemblies	199	243	129	191
    # relocations	52	64	36	46
    # translocations	139	179	87	140
    # inversions	8	0	6	5
# possibly misassembled contigs	109	95	98	104
# misassembled contigs	67	66	52	63
Misassembled contigs length	1494028	1944569	1121650	1453907
# local misassemblies	161	195	151	149
# structural variations	42	45	31	41
# mismatches	43629	45326	37262	44753
# indels	1593	1613	1327	1583
    # short indels	1431	1464	1127	1436
    # long indels	162	149	200	147
Indels length	4676	4130	5595	4299
