Assemblies                             Gold_Assembly  IDBA_UD  Ray      SOAPdenovo2  SPAdes 
Brevibacterium_casei                   74984          0        0        0            0      
Brevibacterium_casei_S18               74984          0        0        0            0      
Burkholderia_mallei_ATCC_10399         0              0        0        0            0      
Burkholderia_pseudomallei              0              0        0        0            112862 
Chloroflexi_bacterium_SCGC_AB-629-P13  221971         221319   285468   125218       299828 
Clostridium_sp_M621                    798310         241774   242734   0            235338 
Enterobacteriaceae_bacterium_LSJC7     4380795        244980   0        0            242573 
Eubacterium_sp_3_1_31                  5328956        2881317  2867634  0            2866756
Formosa_sp_AK20                        2908839        2791119  0        61821        2669127
Geobacillus_sp_JF8                     3446582        1893567  0        0            998172 
Lachnospiraceae_bacterium_2_1_46FAA    0              141231   0        0            0      
Lachnospiraceae_bacterium_3-2          0              0        0        0            0      
Paenibacillus_peoriae                  2206633        2073586  2131540  0            2112013
Patulibacter_americanus_DSM_16676      4227911        4257734  4442678  0            3529558
Patulibacter_medicamentivorans         925969         1075668  1384379  121470       482618 
Rhodobacter_sp_AKP1                    0              0        -        0            0      
Rhodobacter_sphaeroides                0              0        0        0            0      
Sphingobium_yanoikuyae_ATCC_51230      0              0        0        0            0      
Sphingopyxis_sp_MC1                    0              0        0        0            50890  
Thermus_sp_CCB_US3_UF1                 2243761        1756760  1800167  1239876      1852362
Weissella_koreensis_KACC_15510         0              0        0        0            0      
alpha_proteobacterium_LLX12A           861752         0        0        0            0      
gamma_proteobacterium_SCGC_AAA076-D02  1105604        1185450  1510536  0            1181921
marine_gamma_proteobacterium_HTCC2080  3359881        3241115  3436700  0            3172226
