Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	-	-	-	5
Alistipes_putredinis	256	14	37	79
Anaerotruncus_colihominis	204	176	89	178
Bacteroides_caccae	627	248	461	619
Bacteroides_capillosus	125	30	54	99
Bacteroides_cellulosilyticus	189	216	246	267
Bacteroides_coprocola	361	374	157	345
Bacteroides_coprophilus	247	433	184	326
Bacteroides_dorei	2165	845	1821	2290
Bacteroides_eggerthii	3384	2595	4233	3829
Bacteroides_finegoldii	342	144	182	439
Bacteroides_fragilis_3_1_12	640	260	273	574
Bacteroides_intestinalis	300	42	4	154
Bacteroides_ovatus	3759	160	2635	3920
Bacteroides_pectinophilus	105	59	13	81
Bacteroides_plebeius	160	91	113	188
Bacteroides_sp_2_1_7	1026	159	228	1824
Bacteroides_sp_2_2_4	2084	200	1282	2158
Bacteroides_sp_D1	3030	98	1614	2715
Bacteroides_sp_D4	1664	613	847	1677
Bacteroides_sp__4_3_47FAA	3684	3099	4071	3497
Bacteroides_sp__9_1_42FAA	1633	695	667	1558
Bacteroides_stercoris	224	129	172	339
Bacteroides_thetaiotaomicron_VPI-5482	5293	215	5140	5542
Bacteroides_uniformis	3599	3541	3350	4008
Bacteroides_vulgatus_ATCC_8482	3229	2129	3722	2762
Bifidobacterium_pseudocatenulatum	16	3	-	16
Blautia_hansenii	114	56	55	93
Bryantella_formatexigens	197	27	5	155
Butyrivibrio_crossotus	928	167	181	872
Catenibacterium_mitsuokai	30	12	4	13
Clostridium_asparagiforme	242	26	45	64
Clostridium_bartlettii	37	10	21	50
Clostridium_bolteae	337	133	100	207
Clostridium_leptum	43	22	23	31
Clostridium_methylpentosum	234	26	11	15
Clostridium_nexile	772	155	153	413
Clostridium_scindens	64	22	23	59
Clostridium_sp_L2-50	849	131	259	696
Collinsella_aerofaciens	4	-	-	14
Coprococcus_comes	1194	284	349	1539
Coprococcus_eutactus	593	96	42	285
Dorea_formicigenerans	1114	238	174	616
Dorea_longicatena	441	105	126	522
Enterococcus_faecalis_TX0104	154	9	6	20
Eubacterium_biforme	364	90	67	230
Eubacterium_hallii	479	145	121	708
Eubacterium_rectale_M104_1	1641	493	240	1501
Eubacterium_siraeum	29	14	27	26
Eubacterium_ventriosum	583	58	83	554
Faecalibacterium_prausnitzii_SL3_3	3006	716	1775	2654
Holdemania_filiformis	228	73	36	145
Mollicutes_bacterium_D7	138	3	5	36
Parabacteroides_distasonis_ATCC_8503	1254	292	46	1256
Parabacteroides_johnsonii	95	70	97	111
Parabacteroides_merdae	445	160	75	178
Prevotella_copri	438	96	37	177
Roseburia_intestinalis_M50_1	5657	535	1963	5548
Ruminococcus_bromii_L2-63	915	103	88	421
Ruminococcus_gnavus	240	75	53	205
Ruminococcus_lactaris	1511	241	81	1125
Ruminococcus_obeum_A2-162	775	232	193	758
Ruminococcus_torques_L2-14	1133	194	342	1332
Subdoligranulum_variabile	283	47	39	216
